testId,frameNo,mapLatitude,mapLongitude,testYyddmm,testHhmmss,drivingTime
021022K1KA,frameNo,mapLatitude,mapLongitude,testYyddmm,testHhmmss,drivingTime
021022K1KA,1185,36.076954,140.21552,10/22/2002,13:30:40,0:00:13
021022K1KA,1187,36.076952,140.215509,10/22/2002,13:30:40,0:00:13
021022K1KA,1189,36.07695,140.215498,10/22/2002,13:30:40,0:00:13
021022K1KA,1191,36.076948,140.215487,10/22/2002,13:30:40,0:00:13
021022K1KA,1192,36.076946,140.215476,10/22/2002,13:30:40,0:00:13
021022K1KA,1194,36.076943,140.215466,10/22/2002,13:30:40,0:00:13
021022K1KA,1196,36.076941,140.215455,10/22/2002,13:30:40,0:00:13
021022K1KA,1198,36.076939,140.215444,10/22/2002,13:30:40,0:00:13
021022K1KA,1200,36.076937,140.215433,10/22/2002,13:30:41,0:00:14
021022K1KA,1202,36.076935,140.215422,10/22/2002,13:30:41,0:00:14
021022K1KA,1204,36.076933,140.215412,10/22/2002,13:30:41,0:00:14
021022K1KA,1206,36.076931,140.215401,10/22/2002,13:30:41,0:00:14
021022K1KA,1208,36.076929,140.21539,10/22/2002,13:30:41,0:00:14
021022K1KA,1209,36.076926,140.215379,10/22/2002,13:30:41,0:00:14
021022K1KA,1211,36.076924,140.215369,10/22/2002,13:30:41,0:00:14
021022K1KA,1213,36.076922,140.215358,10/22/2002,13:30:41,0:00:14
021022K1KA,1215,36.07692,140.215347,10/22/2002,13:30:41,0:00:14
021022K1KA,1217,36.076918,140.215336,10/22/2002,13:30:41,0:00:14
021022K1KA,1219,36.076916,140.215325,10/22/2002,13:30:41,0:00:14
021022K1KA,1220,36.076914,140.215315,10/22/2002,13:30:41,0:00:14
021022K1KA,1222,36.076911,140.215304,10/22/2002,13:30:41,0:00:14
021022K1KA,1224,36.076909,140.215293,10/22/2002,13:30:41,0:00:14
021022K1KA,1226,36.076907,140.215282,10/22/2002,13:30:41,0:00:14
021022K1KA,1227,36.076905,140.215271,10/22/2002,13:30:41,0:00:14
021022K1KA,1229,36.076903,140.215261,10/22/2002,13:30:42,0:00:15
021022K1KA,1231,36.076901,140.21525,10/22/2002,13:30:42,0:00:15
021022K1KA,1233,36.076899,140.215239,10/22/2002,13:30:42,0:00:15
021022K1KA,1235,36.076897,140.215228,10/22/2002,13:30:42,0:00:15
021022K1KA,1236,36.076894,140.215217,10/22/2002,13:30:42,0:00:15
021022K1KA,1238,36.076892,140.215207,10/22/2002,13:30:42,0:00:15
021022K1KA,1240,36.07689,140.215196,10/22/2002,13:30:42,0:00:15
021022K1KA,1242,36.076888,140.215185,10/22/2002,13:30:42,0:00:15
021022K1KA,1243,36.076886,140.215174,10/22/2002,13:30:42,0:00:15
021022K1KA,1245,36.076884,140.215164,10/22/2002,13:30:42,0:00:15
021022K1KA,1246,36.076882,140.215153,10/22/2002,13:30:42,0:00:15
021022K1KA,1247,36.076881,140.215151,10/22/2002,13:30:42,0:00:15
021022K1KA,1249,36.076879,140.215142,10/22/2002,13:30:42,0:00:15
021022K1KA,1250,36.076877,140.215131,10/22/2002,13:30:42,0:00:15
021022K1KA,1252,36.076875,140.21512,10/22/2002,13:30:42,0:00:15
021022K1KA,1254,36.076873,140.21511,10/22/2002,13:30:42,0:00:15
021022K1KA,1256,36.076871,140.215099,10/22/2002,13:30:42,0:00:15
021022K1KA,1258,36.076869,140.215088,10/22/2002,13:30:42,0:00:15
